Fighter,wins,losses,draws,nc
gabriella fernandes,2,2,0,0
gadzhi omargadzhiev,0,2,0,0
gadzhimurad antigulov,2,4,0,0
gaetano pirrello,0,2,0,0
galore bofando,1,1,0,0
gan mcgee,2,2,0,0
garett whiteley,0,3,0,0
garreth mclellan,1,4,0,0
garrett armfield,1,3,0,0
gary goodridge,4,4,0,0
gasan umalatov,1,3,0,0
gaston bolanos,2,1,0,0
gavin tucker,4,3,0,0
geane herrera,1,3,0,0
gegard mousasi,9,3,0,0
genaro valdez,0,3,0,0
genki sudo,2,1,0,0
geoff neal,7,4,0,0
george roop,5,8,0,0
george sotiropoulos,7,4,0,0
george sullivan,3,4,0,0
georges st-pierre,20,2,0,0
gerald harris,3,1,0,0
gerald meerschaert,12,10,0,0
gerald strebendt,0,1,0,0
geraldo de freitas,1,2,0,0
germaine de randamie,7,3,0,0
gerry harris,0,1,0,0
geza kalman,1,1,0,0
gian villante,7,11,0,0
gideon ray,0,3,0,0
giga chikadze,7,2,0,0
gil castillo,1,2,0,0
gilbert aldana,0,2,0,0
gilbert burns,15,8,0,0
gilbert melendez,1,6,0,0
gilbert smith,0,1,0,0
gilbert urbina,1,2,0,0
gilbert yvel,0,3,0,0
gillian robertson,12,6,0,0
gina mazany,2,6,0,0
glaico franca moreira,1,2,0,0
gleison tibau,16,12,0,0
gloria de paula,1,3,0,0
glover teixeira,16,7,0,0
godofredo pepey,5,6,0,0
gokhan saki,1,1,0,0
goran reljic,1,3,0,0
grant dawson,10,1,1,0
gray maynard,11,7,1,1
greg hardy,4,5,0,1
greg soto,1,2,0,0
greg stott,0,1,0,0
gregor gillespie,7,1,0,0
gregory rodrigues,7,2,0,0
grigory popov,0,2,0,0
guangyou ning,2,2,0,0
guido cannetti,4,6,0,0
guilherme vasconcelos,0,1,0,0
gunnar nelson,10,5,0,0
guram kutateladze,2,2,0,0
gustavo lopez,1,2,1,0
guto inocente,0,2,0,0
guy mezger,4,1,0,0
hacran dias,3,5,0,0
hailey cowan,0,1,0,0
hakeem dawodu,6,4,0,0
hamdy abdelwahab,1,0,0,0
hannah cifers,2,5,0,0
hannah goldy,1,4,0,0
hans stringer,1,2,0,0
harold howard,1,2,0,0
harry hunsucker,0,3,0,0
harry moskowitz,0,2,0,0
hatsu hioki,3,5,0,0
hayato sakurai,0,1,0,0
hayder hassan,0,2,0,0
he-man gipson,0,1,0,0
heath herring,2,3,0,0
heather clark,1,2,0,0
hector aldana,0,3,0,0
hector lombard,3,8,0,1
hector ramirez,0,2,0,0
hector sandoval,2,2,0,0
hector urbina,1,2,0,0
henrique da silva,2,4,0,0
henry briones,1,4,0,0
henry cejudo,10,4,0,0
henry martinez,1,2,0,0
herbert burns,2,4,0,0
hermes franca,6,5,0,0
hernani perpetuo,0,2,0,0
holly holm,8,8,0,0
homer moore,0,1,0,0
horacio gutierrez,0,2,0,0
houston alexander,2,4,0,0
houston dorr,0,1,0,0
hu yaozong,0,3,0,0
hugo duarte,0,1,0,0
hugo viana,3,3,0,0
humberto bandenay,1,3,0,0
humberto brown morrison,0,1,0,0
hunter azure,2,2,0,0
hyder amil,2,0,0,0
hyun gyu lim,3,4,0,0
hyunsung park,2,0,0,0
ian entwistle,1,2,0,0
ian freeman,3,2,1,0
ian garry,6,0,0,0
ian heinisch,3,4,0,0
ian loveland,1,2,0,0
ian machado garry,2,1,0,0
ian mccall,2,3,1,0
iasmin lucindo,4,1,0,0
ibo aslan,1,0,0,0
icho larenas,0,1,0,0
ignacio bahamondes,5,2,0,0
igor araujo,2,2,0,0
igor pokrajac,4,8,0,1
igor severino,0,1,0,0
igor zinoviev,0,1,0,0
ihor potieria,2,5,0,0
ike villanueva,1,5,0,0
ikram aliskerov,1,1,0,0
ikuhisa minowa,1,0,0,0
ildemar alcantara,4,3,0,0
ilia topuria,7,0,0,0
iliarde santos,0,3,0,0
ilir latifi,9,7,0,0
impa kasanganay,2,2,0,0
inoue mizuki,1,1,0,0
ion cutelaba,7,9,1,0
irene aldana,8,6,0,0
irina alekseeva,1,1,0,0
irwin rivera,1,2,0,0
isaac dulgarian,2,1,0,0
isaac vallie-flagg,1,3,0,0
isabela de padua,0,1,0,0
islam makhachev,14,1,0,0
ismael bonfim,2,1,0,0
ismail naurdiev,2,2,0,0
israel adesanya,13,4,0,0
issei tamura,1,2,0,0
istela nunes,0,4,0,0
iuri alcantara,10,7,0,1
ivan erslan,0,1,0,0
ivan jorge,2,2,0,0
ivan menjivar,4,5,0,0
ivan salaverry,3,4,0,0
ivan serati,0,1,0,0
ivana petrovic,1,2,0,0
izabela badurek,0,1,0,0
jacare souza,9,7,0,0
jack della maddalena,7,0,0,0
jack hermansson,11,6,0,0
jack jenkins,3,1,0,0
jack marshman,3,5,0,0
jack may,0,2,0,0
jack mcglaughlin,0,1,0,0
jack nilson,1,1,0,0
jack shore,6,3,0,0
jackie lee,0,1,0,0
jacob kilburn,0,2,0,0
jacob malkoun,4,3,0,0
jacob volkmann,6,4,0,0
jacqueline cavalcanti,3,0,0,0
jafel filho,2,1,0,0
jai herbert,3,4,1,0
jailton almeida,7,1,0,0
jairzinho rozenstruik,9,5,0,0
jake collier,5,9,0,0
jake ellenberger,10,11,0,0
jake hadley,3,4,0,0
jake hecht,1,2,0,0
jake lindsey,0,3,0,0
jake matthews,13,7,0,0
jake o'brien,4,3,0,0
jake rosholt,1,2,0,0
jake shields,4,3,0,1
jalin turner,7,5,0,0
jamahal hill,6,2,0,1
jamal pogues,2,1,0,0
jamall emmers,3,4,0,0
james bochnovic,0,2,0,0
james giboo,0,1,0,0
james hammortree,0,1,0,0
james head,2,3,0,0
james irvin,4,6,0,0
james krause,9,4,0,0
james lee,0,1,0,0
james llontop,0,3,0,0
james mcsweeney,1,2,0,0
james moontasri,2,4,0,0
james mulheron,0,1,0,0
james te huna,5,5,0,0
james toney,0,1,0,0
james vick,9,5,0,0
james wilks,2,2,0,0
james zikic,0,1,0,0
jamey simmons,0,2,0,0
jamey-lyn horth,2,2,0,0
jamie moyle,1,2,0,0
jamie mullarkey,5,6,0,0
jamie pickett,2,7,0,0
jamie varner,3,6,0,0
jamie yager,0,1,0,0
jan blachowicz,12,7,1,0
jaqueline amorim,3,1,0,0
jared cannonier,10,8,0,0
jared gooden,2,5,0,0
jared gordon,8,6,0,1
jared hamman,2,5,0,0
jared papazian,0,3,0,0
jared rollins,0,1,0,0
jared rosholt,6,2,0,0
jared vanderaa,1,6,0,0
jarjis danho,1,1,1,0
jarno errens,1,2,0,0
jarred brooks,2,2,0,0
jasmine jasudavicius,6,2,0,0
jason black,0,2,0,0
jason brilz,3,4,0,0
jason day,1,2,0,0
jason delucia,1,2,0,0
jason dent,1,3,0,0
jason fairn,0,1,0,0
jason gilliam,0,2,0,0
jason godsey,0,2,0,0
jason gonzalez,1,3,0,0
jason high,2,3,0,0
jason knight,4,5,0,0
jason lambert,4,4,0,0
jason macdonald,6,8,0,0
jason miller,0,3,0,0
jason novelli,0,2,0,0
jason reinhardt,0,3,0,0
jason saggo,3,3,0,0
jason tan,0,2,0,0
jason thacker,0,1,0,0
jason von flue,1,2,0,0
jason witt,2,4,0,0
jason young,1,3,0,0
javid basharat,3,1,0,0
javier vazquez,1,0,0,0
jay cucciniello,0,1,0,0
jay hieron,0,4,0,0
jay perrin,0,3,0,0
jay silva,0,2,0,0
jc cottrell,0,2,0,0
jean matsumoto,2,0,0,0
jean silva,3,0,0,0
jeff cox,0,2,0,0
jeff curran,0,3,0,0
jeff hougland,1,2,0,0
jeff hughes,0,3,0,1
jeff joslin,0,1,0,0
jeff molina,3,0,0,0
jeff monson,4,3,0,0
jeff newton,0,1,0,0
jeka saragih,1,2,0,0
jenel lausa,1,3,0,0
jennifer maia,6,6,0,0
jens pulver,6,2,1,0
jeongyeong lee,2,1,0,0
jeremiah wells,4,2,0,0
jeremy horn,6,7,0,0
jeremy jackson,0,2,0,0
jeremy kennedy,3,1,0,0
jeremy kimball,1,3,0,0
jeremy larsen,0,3,0,0
jeremy stephens,15,18,0,1
jermaine andre,0,1,0,0
jerome rivera,0,4,0,0
jerrod sanders,1,2,0,1
jerry bohlander,5,2,0,0
jess liaudin,2,3,0,0
jessamyn duke,1,3,0,0
jesse bongfeldt,0,1,1,0
jesse butler,0,2,0,0
jesse forbes,0,3,0,0
jesse lennox,1,2,0,0
jesse ronson,0,5,0,1
jesse sanders,0,1,0,0
jesse strader,0,2,0,0
jesse taylor,1,1,0,0
jessica aguilar,1,4,0,0
jessica andrade,17,11,0,0
jessica eye,5,10,0,1
jessica penne,3,6,0,0
jessica rakoczy,0,2,0,0
jessica-rose clark,4,5,0,0
jessin ayari,1,3,0,0
jesus aguilar,3,1,0,0
jesus pinedo,1,1,0,0
jhonata diniz,2,1,0,0
ji yeon kim,3,7,0,0
jianping yang,0,1,0,0
jim alers,1,2,0,1
jim miller,27,17,0,1
jim mullen,0,1,0,0
jim wallhead,0,2,0,0
jimi manuwa,6,6,0,0
jimmie rivera,7,4,0,0
jimmy crute,4,4,1,0
jimmy flick,2,3,0,0
jimmy quinlan,0,1,0,0
jimy hettes,3,3,0,0
jin soo son,0,2,0,0
jinh yu frey,2,5,0,0
jiri prochazka,4,2,0,0
jj aldrich,8,6,0,0
joachim christensen,1,3,0,0
joanderson brito,5,2,0,0
joanna jedrzejczyk,10,5,0,0
joanne wood,9,8,0,0
joao pierini,0,1,0,0
joao roque,0,1,0,0
joao zeferino,0,2,0,0
joaquim silva,6,5,0,0
joaquin buckley,11,4,0,0
joby sanchez,1,4,0,0
jocelyn jones-lybarger,0,3,0,0
jodie esquibel,0,4,0,0
joe brammer,0,2,0,0
joe charles,2,2,0,0
joe doerksen,2,7,0,0
joe duffy,4,4,0,0
joe ellenberger,1,1,0,0
joe giannetti,0,1,0,0
joe jordan,0,1,0,0
joe lauzon,15,12,0,0
joe merritt,0,1,0,0
joe moreira,1,1,0,0
joe pardo,0,1,0,0
joe proctor,4,4,0,0
joe pyfer,4,1,0,0
joe riggs,5,7,0,0
joe slick,1,1,0,0
joe solecki,5,3,0,0
joe son,0,1,0,0
joe soto,3,5,0,0
joe stevenson,8,8,0,0
joe vedepo,0,2,0,0
joe veres,0,2,0,0
joel alvarez,7,2,0,0
joel sutton,2,0,0,0
joey beltran,3,6,0,1
joey gambino,0,2,0,0
joey gilbert,0,1,0,0
joey gomez,0,2,0,0
joey roberts,0,1,0,0
john albert,1,4,0,0
john alessio,0,5,0,0
john allan,0,2,0,1
john campetella,0,1,0,0
john castaneda,4,3,0,0
john cholish,1,2,0,0
john cofer,0,2,0,0
john dodson,10,7,0,0
john dowdy,0,1,0,0
john gunderson,1,2,0,0
john gunther,1,1,0,0
john halverson,0,2,0,0
john hathaway,7,2,0,0
john howard,7,7,0,0
john kolosci,0,1,0,0
john lewis,1,1,0,0
john lineker,12,4,0,0
john lober,0,1,0,0
john maguire,2,3,0,0
john makdessi,11,9,0,0
john marsh,0,1,0,0
john matua,0,1,0,0
john moraga,8,6,0,0
john phillips,1,5,0,0
john polakowski,0,1,0,0
john salter,1,2,0,0
john teixeira,0,1,0,0
johnny bedford,2,3,0,1
johnny case,4,2,0,0
johnny eduardo,3,5,0,0
johnny munoz,2,4,0,0
johnny rees,0,2,0,0
johnny rhodes,2,1,0,0
johnny walker,7,6,0,0
johny hendricks,13,8,0,0
jon delos reyes,1,3,0,0
jon fitch,14,3,1,0
jon hess,1,0,0,0
jon jones,22,1,0,1
jon madsen,4,1,0,0
jon manley,0,1,0,0
jon olav einemo,0,2,0,0
jon tuck,4,5,0,0
jonathan brookins,2,3,0,0
jonathan goulet,4,5,0,0
jonathan martinez,10,5,0,0
jonathan meunier,1,1,0,0
jonathan pearce,5,4,0,0
jonathan wiezorek,1,0,0,0
jonathan wilson,1,3,0,0
jonavin webb,0,2,0,0
jonny parsons,1,0,0,0
jordan espinosa,2,4,0,0
jordan griffin,1,4,0,0
jordan johnson,4,0,0,0
jordan leavitt,4,3,0,0
jordan mein,5,4,0,0
jordan radev,0,2,0,0
jordan rinaldi,2,3,0,0
jordan vucenic,0,1,0,0
jordan williams,0,3,0,0
jordan wright,2,5,0,0
jorge de oliveira,0,2,0,0
jorge gurgel,3,4,0,0
jorge lopez,0,2,0,0
jorge masvidal,12,10,0,0
jorge patino,0,1,0,0
jorge rivera,8,7,0,0
jorge santiago,1,5,0,0
jose aldo,14,8,0,0
jose daniel medina,0,1,0,0
jose johnson,1,2,0,0
jose maria,0,2,0,0
jose ochoa,0,1,0,0
jose quinonez,5,4,0,0
jose torres,1,1,0,0
josefine knutsson,2,1,0,0
joselyne edwards,5,4,0,0
joseph benavidez,15,6,0,0
joseph gigliotti,0,2,0,0
joseph holmes,1,3,0,0
joseph morales,1,2,0,0
joseph sandoval,0,2,0,0
josh barnett,7,3,0,0
josh bryant,0,1,0,0
josh clopton,0,2,0,0
josh copeland,0,2,0,0
josh culibao,3,4,1,0
josh emmett,10,4,0,0
josh ferguson,0,2,0,0
josh fremd,2,4,0,0
josh grispi,0,4,0,0
josh haynes,0,3,0,0
josh hendricks,0,1,0,0
josh koscheck,15,10,0,0
josh neer,6,9,0,0
josh parisian,2,5,0,0
josh quinlan,1,3,0,0
josh rafferty,0,1,0,0
josh samman,3,2,0,0
josh sampo,1,3,0,0
josh shockley,0,2,0,0
josh shockman,0,1,0,0
josh stansbury,1,2,0,0
josh stuart,0,1,0,0
josh thomson,3,4,0,0
joshua burkman,6,12,0,1
joshua van,5,1,0,0
joshua weems,0,1,0,0
josiane nunes,3,2,0,0
journey newson,1,4,0,1
jp buys,0,4,0,0
juan adams,1,3,0,0
juan espino,2,1,0,0
juan manuel puig,0,2,0,0
juancamilo ronderos,0,2,0,0
jules bruchez,0,1,0,0
julia avila,3,2,0,0
julia polastri,1,1,0,0
julian erosa,8,7,0,0
julian marquez,3,4,0,0
julian sanchez,0,1,0,0
juliana lima,3,4,0,0
juliana miller,1,2,0,0
julianna pena,8,3,0,0
julie kedzie,0,2,0,0
julija stoliarenko,2,6,0,0
julio arce,6,4,0,0
julio paulino,0,2,0,0
jumabieke tuerxun,0,3,0,0
junie browning,1,1,0,0
junior albini,1,4,0,0
junior assuncao,2,3,0,0
junior dos santos,15,8,0,0
junior tafa,1,3,0,0
junyong park,8,3,0,0
jussier formiga,9,7,0,0
justin buchholz,1,4,0,0
justin edwards,2,5,0,0
justin eilers,1,3,0,0
justin frazier,0,1,0,0
justin gaethje,8,5,0,0
justin james,0,1,0,0
justin jaynes,1,4,0,0
justin jones,0,2,0,0
justin lawrence,1,2,0,0
justin ledet,3,4,0,0
justin levens,0,2,0,0
justin martin,1,0,0,0
justin mccully,2,2,0,0
justin salas,3,4,0,0
justin scoggins,4,5,0,0
justin tafa,4,4,0,1
justin willis,4,1,0,0
justin wren,0,1,0,0
justine kish,3,4,0,0
jutaro nakao,1,1,0,0
kaan ofli,0,1,0,0
kai asakura,0,1,0,0
kai kamaka,1,2,1,0
kai kara-france,8,4,0,0
kailin curran,1,6,0,0
kajan johnson,4,3,0,0
kalib starnes,2,3,0,0
kalindra faria,0,3,0,0
kamal shalorus,0,3,0,0
kamaru usman,15,2,0,0
kamuela kirk,1,2,0,0
kanako murata,1,2,0,0
karine gevorgyan,0,1,0,0
karine silva,4,1,0,0
karl roberson,4,6,0,0
karl williams,3,1,0,0
karlos vemola,2,4,0,0
karo parisyan,8,4,0,1
karol rosa,7,3,0,0
karolina kowalkiewicz,9,9,0,0
katlyn cerminara,0,1,0,0
katlyn chookagian,11,5,0,0
katsuhisa fujii,1,1,0,0
katsunori kikuno,2,3,0,0
kaue fernandes,1,1,0,0
kay hansen,1,3,0,0
kayla harrison,2,0,0,0
kaynan kruschewsky,0,2,0,0
kazuhiro nakamura,0,2,0,0
kazuki tokudome,1,3,0,0
kazula vargas,1,3,0,0
kazushi sakuraba,1,0,0,1
kb bhullar,0,2,0,0
keigo kunihara,0,1,0,0
keiichiro yamamiya,0,1,0,0
keita nakamura,4,7,0,0
keith berish,0,1,0,1
keith hackney,2,2,0,0
keith jardine,6,7,0,0
keith mielke,0,1,0,0
keith rockel,1,1,0,0
keith wisniewski,0,4,0,0
kelly dullanty,0,1,0,0
kelly faszholz,0,2,0,0
kelvin gastelum,13,9,0,1
ken shamrock,4,4,0,0
ken stone,2,2,0,0
kendall grove,7,6,0,0
kenichi yamamoto,2,1,0,0
kennedy nzechukwu,7,5,0,0
kenny florian,12,5,0,0
kenny robertson,4,5,0,0
kerry schall,0,1,0,0
ketlen souza,2,1,0,0
ketlen vieira,8,4,0,0
kevin aguilar,2,4,0,0
kevin borjas,0,2,0,0
kevin burns,2,3,0,0
kevin casey,1,3,1,2
kevin croom,0,3,0,1
kevin ferguson,1,1,0,0
kevin holland,13,9,0,1
kevin jackson,2,2,0,0
kevin jordan,0,2,0,0
kevin jousset,2,1,0,0
kevin lee,11,8,0,0
kevin natividad,0,3,0,0
kevin randleman,4,3,0,0
kevin rosier,0,1,0,0
khabib nurmagomedov,13,0,0,0
khadis ibragimov,0,4,0,0
khalid murtazaliev,1,0,0,0
khalid taha,1,4,0,1
khalil rountree jr.,9,6,0,1
khama worthy,2,3,0,0
khamzat chimaev,6,0,0,0
khaos williams,6,2,0,0
khusein askhabov,0,1,0,0
kiefer crosbie,0,2,0,0
kiichi kunimoto,3,2,0,0
kimo leopoldo,2,3,0,0
king green,0,1,0,0
kiru sahota,0,1,0,0
kit cope,0,1,0,0
kj noons,2,3,0,1
klaudia sygula,0,1,0,0
kleydson rodrigues,1,3,0,0
klidson abreu,1,2,0,1
koji kitao,0,1,0,0
koji oishi,0,2,0,0
konstantin erokhin,0,2,0,0
kris mccray,0,3,0,0
kris moutinho,0,2,0,0
kristian rothaermel,0,1,0,0
kristof midoux,0,1,0,0
kron gracie,1,3,0,0
krzysztof jotko,11,6,0,0
krzysztof soszynski,6,3,0,0
kuniyoshi hironaka,1,3,0,0
kurt holobaugh,2,5,0,0
kurt pellegrino,7,5,0,0
kwan ho kwak,0,2,0,0
kyle bochniak,2,5,0,0
kyle bradley,1,3,0,0
kyle daukaus,2,4,0,1
kyle kingsbury,4,5,0,0
kyle nelson,4,5,1,0
kyle noke,6,6,0,0
kyle prepolec,0,2,0,0
kyle stewart,0,2,0,0
kyle watson,1,1,0,0
kyler phillips,6,2,0,0
kyoji horiguchi,7,1,0,0
kyung ho kang,8,5,0,1
lance benoist,2,2,0,0
lance gibson,1,1,0,0
lando vannata,4,7,2,0
landon quinones,0,2,0,0
lara procopio,1,2,0,0
larissa pacheco,0,2,0,0
larry cureton,0,2,0,0
laureano staropoli,2,4,0,0
lauren mueller,1,3,0,0
lauren murphy,8,6,0,0
lavar johnson,2,2,0,0
laverne clark,4,1,0,0
leah letson,1,1,0,0
leandro issa,2,3,0,0
leandro silva,3,4,0,1
lee murray,1,0,0,0
leigh remedios,0,1,0,0
leo kuntz,0,2,0,0
leon edwards,14,3,0,1
leonard garcia,2,7,0,0
leonardo guimaraes,0,2,0,0
leonardo mafra,1,3,0,0
leonardo morales,0,2,0,0
leonardo santos,7,3,1,0
lerone murphy,6,0,1,0
leslie smith,4,3,0,0
levan makashvili,1,1,1,0
lewis gonzalez,0,1,0,0
li jingliang,11,7,0,0
liana jojua,1,3,0,0
liang na,0,2,0,0
liliya shakirova,0,1,0,0
lina lansberg,4,7,0,0
lisa ellis,0,2,0,0
liudvik sholinian,0,2,0,0
livinha souza,3,3,0,0
liz carmouche,5,5,0,0
lodune sincaid,0,1,0,0
logan clark,1,0,0,0
loik radzhabov,2,2,0,0
loma lookboonmee,6,2,0,0
lone'er kavanagh,1,0,0,0
loopy godinez,7,5,0,0
lorenz larkin,5,5,0,0
louis cosce,0,2,0,0
louis gaudinot,1,3,0,1
louis smolka,8,9,0,0
lowell anderson,0,1,0,0
luan chagas,1,2,1,0
luan lacerda,0,2,0,0
luana carolina,6,3,0,0
luana pinheiro,3,3,0,0
luana santos,3,1,0,0
lucas alexander,1,2,0,0
lucas almeida,2,2,0,0
lucas martins,4,3,0,0
lucas rocha,0,1,0,0
lucie pudilova,3,8,0,0
lucio linhares,0,2,0,0
ludovit klein,7,2,1,0
luigi fioravanti,4,5,0,0
luigi vendramini,1,3,0,0
luis henrique,2,4,0,0
luis pajuelo,0,1,0,0
luis pena,5,3,0,0
luis ramos,0,2,0,0
luis saldana,2,1,1,0
luiz cane,4,5,0,0
luiz dutra,0,2,0,0
lukasz brzeski,1,4,0,0
lukasz sajewski,0,3,0,0
luke barnatt,3,3,0,0
luke caudillo,0,2,0,0
luke cummo,3,4,0,0
luke jumeau,2,2,0,0
luke rockhold,6,5,0,0
luke sanders,3,5,0,0
luke zachrich,1,2,0,0
lyman good,3,3,0,0
lyoto machida,16,8,0,0
mac danzig,5,8,0,0
maciej jewtuszko,0,1,0,0
mackens semerzier,1,1,0,1
mackenzie dern,9,5,0,0
macy chiasson,8,3,0,0
mads burnell,1,2,0,0
magnus cedenblad,4,2,0,0
magomed ankalaev,10,1,1,0
magomed gadzhiyasulov,1,0,0,0
magomed mustafaev,3,2,0,0
maheshate,2,3,0,0
maia stevenson,0,1,0,0
maiquel falcao,1,0,0,0
mairbek taisumov,7,2,0,0
mairon santos,1,0,0,0
makhmud muradov,4,2,0,1
maki pitolo,1,5,0,0
makwan amirkhani,7,7,0,0
malcolm gordon,2,5,0,0
mallory martin,1,3,0,0
mana martinez,2,2,0,0
mandy bohm,1,2,0,0
manel kape,5,3,0,0
manny bermudez,3,2,0,0
manolo zecchini,0,1,0,0
manon fiorot,7,0,0,0
mansur abdul-malik,1,0,0,0
manuel rodriguez,0,1,0,0
manuel torres,3,1,0,0
manvel gamburyan,6,8,0,1
mara romero borella,2,5,0,0
marc diakiese,8,7,0,0
marc-andre barriault,5,8,0,1
marcel fortuna,1,2,0,0
marcelo aguiar,0,1,0,0
marcelo golm,1,3,0,0
marcelo guimaraes,2,2,0,0
marcelo mello,1,0,0,0
marcelo rojo,0,3,0,0
marcin bandel,0,2,0,0
marcin held,1,3,0,0
marcin prachnio,4,6,0,0
marcin tybura,13,8,0,0
marcin wrzosek,0,1,0,0
marcio alexandre junior,0,3,0,0
marcio cruz,2,2,0,0
marco beltran,3,3,0,0
marco polo reyes,4,4,0,0
marco ruas,4,2,0,0
marcos mariano,0,2,0,0
marcos rogerio de lima,11,7,0,0
marcos vinicius,1,2,0,0
marcus aurelio,2,4,0,0
marcus bossett,1,2,0,0
marcus brimage,4,4,0,0
marcus davis,9,6,0,0
marcus jones,0,1,0,0
marcus levesseur,1,2,0,0
marcus mcghee,4,0,0,0
marcus silveira,0,1,0,1
maria oliveira,1,3,0,0
marina rodriguez,7,5,2,0
mario bautista,9,2,0,0
mario miranda,1,3,0,0
mario neto,0,1,0,0
marion reneau,5,7,1,0
mariya agapova,2,4,0,0
mark bocek,8,5,0,0
mark coleman,7,5,0,0
mark de la rosa,2,5,0,0
mark eddiva,1,3,0,0
mark godbeer,2,2,0,0
mark hall,4,3,0,0
mark holst,0,2,0,0
mark hominick,3,4,0,0
mark hughes,1,0,0,0
mark hunt,8,8,1,1
mark kerr,4,0,0,0
mark madsen,4,2,0,0
mark munoz,9,6,0,0
mark robinson,0,0,0,1
mark scanlon,0,1,0,0
mark schultz,1,0,0,0
mark striegl,0,2,0,0
mark weir,1,2,0,0
markus perez,2,5,0,0
marlon moraes,5,6,0,0
marlon vera,15,9,0,0
marnic mann,0,2,0,0
marquel mederos,1,0,0,0
martin bravo,1,3,0,0
martin buday,5,1,0,0
martin day,0,4,0,0
martin kampmann,11,6,0,0
martin sano,0,1,0,0
martin svensson,0,1,0,0
marvin eastman,1,4,0,0
marvin vettori,9,5,1,0
maryna moroz,6,6,0,0
masanori kanehara,1,2,0,0
masio fullen,1,2,0,0
mason jones,1,2,0,1
masutatsu yano,0,1,0,0
mateus mendonca,0,3,0,0
mateusz gamrot,7,3,0,0
mateusz rebecki,3,1,0,0
matheus nicolau,7,4,0,0
mats nilsson,0,2,0,0
matt andersen,0,1,0,0
matt arroyo,1,2,0,0
matt bessette,0,2,0,0
matt brown,17,13,0,0
matt dwyer,1,3,0,0
matt frevola,5,5,1,0
matt grice,2,5,0,0
matt hamill,10,5,0,0
matt hobar,1,2,0,0
matt horwich,0,2,0,0
matt hughes,18,7,0,0
matt lindland,9,3,0,0
matt lucas,0,1,0,0
matt mitrione,9,5,0,0
matt sayles,1,3,0,0
matt schnell,6,7,0,1
matt serra,7,7,0,0
matt van buren,0,2,0,0
matt veach,1,2,0,0
matt wiman,10,8,0,0
matthew lopez,2,4,0,0
matthew riddle,7,3,0,2
matthew semelsberger,5,6,0,0
maurice greene,4,4,0,0
maurice smith,4,3,0,0
mauricio rua,11,12,1,0
mauricio ruffy,2,0,0,0
max griffin,8,9,0,0
max holloway,21,7,0,0
max rohskopf,0,1,0,0
maxim grishin,2,3,0,0
maximo blanco,4,5,0,0
maycee barber,9,2,0,0
mayra bueno silva,6,4,1,0
megan anderson,3,3,0,0
mehdi baghdad,0,2,0,0
melinda fabian,0,1,1,0
melissa dixon,1,0,0,0
melissa gatto,3,2,0,0
melissa martinez,1,1,0,0
melissa mullins,1,1,0,0
melquizael costa,2,2,0,0
melsik baghdasaryan,3,1,0,0
melton bowen,0,1,0,0
melvin guillard,12,9,0,1
merab dvalishvili,11,2,0,0
michael bisping,20,9,0,0
michael chandler,2,4,0,0
michael chiesa,13,7,0,0
michael graves,2,0,1,0
