Fighter,wins,losses,draws,nc
michael johnson,15,15,0,0
michael kuiper,1,3,0,0
michael mcbride,0,2,0,0
michael mcdonald,6,3,0,0
michael morales,5,0,0,0
michael page,1,1,0,0
michael patt,0,2,0,0
michael trizano,4,3,0,0
michal figlak,0,2,0,0
michal oleksiejczuk,6,7,0,1
micheal gillmore,0,2,0,0
michel batista,0,1,0,0
michel pereira,9,3,0,0
michel prazeres,10,4,0,0
michel quinones,0,2,0,0
michelle waterson,6,5,0,0
michelle waterson-gomez,0,4,0,0
michihiro omigawa,1,6,0,0
michinori tanaka,2,3,0,0
mick parkin,4,0,0,0
mickael lebout,1,2,0,0
mickey gall,6,7,0,0
miesha tate,7,6,0,0
miguel baeza,3,4,0,0
miguel torres,2,2,0,0
mike breeden,0,3,0,0
mike brown,2,4,0,0
mike ciesnolevicz,1,1,0,0
mike davis,4,1,0,0
mike de la torre,2,4,0,1
mike easton,3,4,0,0
mike grundy,1,3,0,0
mike guymon,1,3,0,0
mike jackson,1,2,0,1
mike king,0,1,0,0
mike kyle,2,1,0,0
mike lullo,0,2,0,0
mike malott,4,1,0,0
mike massenzio,2,5,0,0
mike nickels,1,1,0,0
mike perry,7,8,0,0
mike pierce,9,5,0,0
mike pyle,10,9,0,0
mike rhodes,0,3,0,0
mike ricci,1,2,0,0
mike rio,1,3,0,0
mike rodriguez,2,5,0,1
mike russow,4,2,0,0
mike santiago,0,3,0,0
mike stumpf,0,2,0,0
mike swick,10,5,0,0
mike van arsdale,2,2,0,0
mike wessel,0,1,0,0
mike whitehead,0,1,0,0
mike wilkinson,2,2,0,0
mikey burnett,2,1,0,0
milana dudieva,1,2,0,0
miles johns,7,3,0,0
milton vieira,0,1,1,0
minoki ichihara,0,1,0,0
miranda granger,1,3,0,0
miranda maverick,8,3,0,0
mirko filipovic,5,6,0,0
mirsad bektic,6,4,0,0
misha cirkunov,6,7,0,0
mitch clarke,2,5,0,0
mitch gagnon,4,4,0,0
mitch ramirez,0,1,0,0
mitch raposo,0,1,0,0
mizuki,1,0,0,0
mizuto hirota,1,5,1,0
modestas bukauskas,4,4,0,0
mohammad yahya,0,1,0,0
mohammed usman,3,2,0,0
molly mccann,7,6,0,0
montana de la rosa,6,5,1,0
montel jackson,8,2,0,0
montserrat conejo,1,1,0,0
montserrat conejo ruiz,0,2,0,0
montserrat rendon,1,1,0,0
morgan charriere,2,1,0,0
mostapha al-turk,0,3,0,0
moti horenstein,0,2,0,0
motonobu tezuka,0,2,0,0
mounir lazzez,2,2,0,0
movsar evloev,9,0,0,0
muhammad mokaev,6,0,0,0
muhammad naimov,2,1,0,0
muin gafurov,1,1,0,0
murilo bustamante,3,1,0,0
muslim salikhov,8,4,0,0
myktybek orolbai,2,0,0,0
myles jury,8,4,0,0
na liang,0,1,0,0
nad narimani,2,2,0,0
nadia kassem,1,2,0,0
nah-shon burrell,1,1,0,0
nam phan,2,6,0,0
nandor guelmino,0,1,0,0
naoki inoue,1,1,0,0
naoyuki kotani,0,5,0,0
nasrat haqparast,9,4,0,0
nassourdine imavov,7,2,0,1
natalia silva,6,0,0,0
natan levy,2,2,0,0
nate diaz,16,11,0,0
nate landwehr,5,4,0,0
nate loughran,1,1,0,0
nate maness,5,2,0,0
nate marquardt,13,12,0,0
nate mohr,1,3,0,0
nate quarry,7,3,0,0
nate schroeder,0,1,0,0
nathan coy,1,2,0,0
nathan fletcher,1,0,0,0
nathaniel wood,8,2,0,0
navajo stirling,1,0,0,0
nazareno malegarie,0,1,0,0
nazim sadykhov,2,0,1,0
neil grove,0,1,0,0
neil magny,22,12,0,0
neil seery,3,4,0,0
neil wain,0,1,0,0
nicco montano,1,1,0,0
nicholas musoke,3,3,0,0
nick agallar,0,1,0,0
nick aguirre,0,2,0,0
nick catone,4,4,0,0
nick denis,1,1,0,0
nick diaz,7,7,0,1
nick fiore,0,2,0,0
nick hein,4,4,0,0
nick maximov,2,2,0,0
nick osipczak,2,3,0,0
nick pace,1,2,0,0
nick penner,0,2,0,0
nick ring,3,3,0,0
nick roehrick,0,1,0,0
nick sanzo,1,1,0,0
nick serra,0,1,0,0
nick thompson,1,1,0,0
nicolae negumereanu,4,2,0,0
nicolas dalby,7,4,1,1
nik lentz,14,9,1,1
nikita krylov,11,7,0,0
niklas backstrom,1,2,0,0
niklas stolze,0,3,0,0
niko price,8,8,0,2
nikolas motta,3,2,0,1
nikolay veretennikov,0,1,0,0
nina nunes,5,4,0,0
nissen osterneck,0,1,0,0
noad lahat,2,2,0,0
noe hernandez,0,1,0,0
nohelin hernandez,0,2,0,0
nolan ticman,0,2,0,0
nora cornolle,2,1,0,0
nordine taleb,7,5,0,0
norifumi yamamoto,0,3,0,1
norma dumont,8,2,0,0
norman parke,5,3,1,0
nursulton ruziboev,2,1,0,0
nurullo aliev,1,0,0,0
nyamjargal tumendemberel,0,1,0,0
oban elliott,3,0,0,0
ode osbourne,4,6,0,0
oleg taktarov,6,2,0,0
oli thompson,0,2,0,0
oliver enkamp,0,2,0,0
olivier aubin-mercier,7,5,0,0
oluwale bamgbose,1,4,0,0
omar morales,3,4,0,0
omari akhmedov,9,5,1,0
onassis parungao,1,0,0,0
orion cosce,1,2,0,0
orlando wiet,1,1,0,0
oskar piechota,2,3,0,1
ottman azaitar,2,3,0,0
oumar sy,2,0,0,0
ovince saint preux,15,13,0,0
ozzy diaz,0,1,0,0
pablo garza,3,3,0,0
paddy holohan,3,2,0,0
paddy pimblett,6,0,0,0
paige vanzant,5,4,0,0
pannie kianzad,5,6,0,0
papy abedi,1,3,0,0
parker porter,4,3,0,0
pascal krauss,2,2,0,0
pat audinwood,0,2,0,0
pat barry,5,7,0,0
pat healy,0,5,0,1
pat miletich,8,2,0,0
pat sabatini,6,2,0,0
pat schilling,0,2,0,0
patrick cote,10,11,0,0
patrick cummins,6,7,0,0
patrick smith,4,1,0,0
patrick walsh,1,1,0,0
patrick williams,1,3,0,0
paul bradley,0,2,0,0
paul buentello,3,3,0,0
paul craig,9,9,1,0
paul creighton,0,1,0,0
paul daley,2,1,0,0
paul felder,9,6,0,0
paul georgieff,0,1,0,0
paul herrera,0,1,0,0
paul jones,1,1,0,0
paul kelly,5,4,0,0
paul redmond,0,2,0,0
paul rodriguez,0,1,0,0
paul sass,3,2,0,0
paul taylor,4,5,0,0
paul varelans,4,4,0,0
paulo costa,6,4,0,0
paulo santos,0,1,0,0
paulo thiago,5,8,0,0
pawel pawlak,1,2,0,0
payton talbott,3,0,0,0
pearl gonzalez,0,2,0,0
pedro falcao,0,1,0,0
pedro munhoz,10,10,0,2
pedro nobre,0,0,0,1
pedro rizzo,9,5,0,0
peggy morgan,0,1,0,0
per eklund,1,2,0,0
pete rodriguez,1,2,0,0
pete sell,2,5,0,0
pete spratt,3,4,0,0
pete williams,3,5,0,0
peter barrett,0,2,0,0
peter sobotta,4,6,0,0
petr yan,10,4,0,0
phil baroni,3,7,0,0
phil davis,9,3,0,1
phil harris,1,3,0,1
phil hawes,4,4,0,0
phil johns,0,1,0,0
phil rowe,3,3,0,0
philip de fries,2,3,0,0
philipe lins,4,2,0,0
phillip miller,2,0,0,0
phillipe nover,1,6,0,0
piera rodriguez,3,2,0,0
pingyuan liu,2,2,0,0
piotr hallmann,2,4,0,0
poliana botelho,3,4,0,0
polyana viana,4,6,0,0
preston parsons,2,3,0,0
priscila cachoeira,4,6,0,0
puja tomar,1,0,0,0
punahele soriano,4,4,0,0
quang le,0,2,0,0
quinn mulhern,0,2,0,0
quinton jackson,8,5,0,0
rachael ostovich,1,3,0,0
rafa garcia,4,4,0,0
rafael alves,1,3,0,0
rafael carino,1,0,0,0
rafael cavalcante,1,4,0,0
rafael dos anjos,21,14,0,0
rafael estevam,1,0,0,0
rafael fiziev,6,3,0,0
rafael natal,9,7,1,0
rafaello oliveira,2,6,0,0
rainy martinez,0,1,0,0
ramazan emeev,5,3,0,0
ramazan temirov,1,0,0,0
rameau thierry sokoudjou,1,2,0,0
ramiro hernandez,0,2,0,0
ramiz brahimaj,3,3,0,0
ramon taveras,1,1,0,0
ramona pascual,0,3,0,0
ramsey nijem,5,5,0,0
randa markos,7,10,1,0
randy brown,13,6,0,0
randy costa,2,4,0,0
randy couture,16,8,0,0
rani yahya,13,6,1,1
raoni barcelos,7,4,0,0
raphael assuncao,12,7,0,0
raphael pessoa,1,2,0,0
raquel pennington,13,6,0,0
rashad coulter,1,3,0,0
rashad evans,14,8,1,0
rashid magomedov,5,1,0,0
raul rosas jr.,4,1,0,0
raulian paiva,3,4,0,0
ravena oliveira,0,1,0,0
ray borg,7,5,0,0
ray rodriguez,0,2,0,0
ray wizard,0,1,0,0
rayanne amanda,0,1,0,0
rayanne dos santos,0,1,0,0
razak al-hassan,0,2,0,0
reese andy,0,2,0,0
reginaldo vieira,1,2,0,0
rei tsuruya,1,0,0,0
reinier de ridder,1,0,0,0
remco pardoel,3,2,0,0
renan barao,9,8,0,0
renato moicano,12,5,0,0
renato sobral,6,4,0,0
renato verissimo,1,2,0,0
renee forte,1,3,0,0
renzo gracie,0,1,0,0
reuben duran,1,3,0,0
rex holman,0,1,0,0
reza madadi,3,4,0,0
reza nasri,0,1,0,0
rhys mckee,0,4,0,0
ricardo abreu,1,1,0,0
ricardo almeida,6,5,0,0
ricardo funch,0,4,0,0
ricardo lamas,11,6,0,0
ricardo ramos,8,5,0,0
ricardo romero,1,2,0,0
ricco rodriguez,5,2,0,0
rich attonito,3,2,0,0
rich clementi,5,5,0,0
rich franklin,14,6,0,0
richard crunkilton,0,1,0,0
richard walsh,2,4,0,0
richardson moreira,0,2,0,0
richie hightower,0,1,0,0
richie smullen,0,1,0,0
richie vaculik,1,3,0,0
rick davis,0,1,0,0
rick story,12,7,0,0
ricky glenn,4,6,1,0
ricky rainey,0,2,0,0
ricky simon,8,5,0,0
ricky turcios,2,2,0,0
riki fukuda,2,3,0,0
rin nakai,0,2,0,0
rinat fakhretdinov,4,0,1,0
rinya nakamura,2,0,0,0
roan carneiro,4,5,0,0
rob broughton,1,2,0,0
rob emerson,3,3,0,1
rob font,11,7,0,0
rob kimmons,3,4,0,0
rob macdonald,1,2,0,0
rob wilkinson,0,2,0,0
rob yundt,0,2,0,0
robbie lawler,15,10,0,0
robelis despaigne,1,2,0,0
robert bryczek,0,1,0,0
robert drysdale,0,0,0,1
robert lucarelli,0,1,0,0
robert mcdaniel,1,2,0,0
robert peralta,4,3,0,1
robert sanchez,1,2,0,0
robert valentin,0,1,0,0
robert whiteford,2,3,0,0
robert whittaker,17,5,0,0
roberto romero,0,1,0,0
roberto traven,1,1,0,0
rocky lee,0,1,0,0
rodney wallace,0,3,0,0
rodolfo bellato,1,0,0,0
rodolfo rubio perez,0,1,0,0
rodolfo vieira,5,2,0,0
rodrigo damm,3,4,0,0
rodrigo de lima,0,2,0,0
rodrigo nascimento,5,3,0,0
rodrigo ruas,0,1,0,0
roger bowling,0,2,0,1
roger gracie,0,1,0,0
roger hollett,0,2,0,0
roger huerta,6,2,0,0
roger narvaez,1,2,0,0
roger zapata,0,1,0,0
rogerio bontorin,2,3,0,1
rogerio nogueira,6,7,0,0
roland delorme,3,3,0,1
roland payne,0,1,0,0
rolando bedoya,0,2,0,0
rolando delgado,1,2,0,0
rolando dy,1,3,0,0
roldan sangcha'an,0,2,0,0
rolles gracie,0,1,0,0
roman bogatov,0,1,0,0
roman dolidze,8,3,0,0
roman kopylov,5,3,0,0
roman mitichyan,1,1,0,0
roman salazar,0,2,0,1
romie aram,0,1,0,0
ron faircloth,0,0,0,1
ron stallings,1,2,0,0
ron van clief,0,1,0,0
ron waterman,2,1,1,0
ronald jhun,0,1,0,0
ronaldo rodriguez,2,0,0,0
ronda rousey,6,2,0,0
rong zhu,1,2,0,0
rongzhu,0,1,0,0
ronnie lawrence,2,1,0,1
ronny markes,3,2,0,0
rony jason,4,4,0,1
ronys torres,0,2,0,0
roosevelt roberts,4,5,0,1
roque martinez,0,3,0,0
rory macdonald,9,4,0,0
rory markham,1,2,0,0
rory singer,2,2,0,0
rose namajunas,11,6,0,0
rosi sexton,0,2,0,0
ross pearson,12,13,0,1
ross pointon,0,2,0,0
rostem akman,0,2,0,0
rousimar palhares,8,4,0,0
roxanne modafferi,4,8,0,0
roy nelson,9,10,0,0
royce alger,0,2,0,0
royce gracie,8,1,0,0
royston wee,2,1,0,0
ruan potts,0,3,0,0
rudyard moncayo,0,1,0,0
ruslan magomedov,3,0,0,0
russell doane,3,5,0,0
rustam khabilov,10,3,0,0
ryan bader,15,5,0,0
ryan benoit,3,6,0,0
ryan couture,0,2,0,0
ryan hall,5,1,0,0
ryan janes,2,2,0,0
ryan jensen,2,6,0,0
ryan jimmo,3,4,0,0
ryan laflare,7,3,0,0
ryan loder,1,0,0,0
ryan macdonald,0,2,0,0
ryan madigan,0,1,0,0
ryan mcgillivray,0,1,0,0
ryan parker,0,1,0,0
ryan roberts,0,1,0,0
ryan spann,8,4,0,0
ryan thomas,0,2,0,0
ryo chonan,1,3,0,0
sabah homasi,0,3,0,0
sabina mazo,3,4,0,0
saeed hosseini,0,1,0,0
sage northcutt,6,2,0,0
sai wang,1,1,0,0
said nurmagomedov,6,2,0,0
saidyokub kakhramonov,2,1,0,0
saimon oliveira,0,2,0,0
sako chivitchian,0,1,0,0
salim touahri,0,3,0,0
sam adkins,2,2,0,0
sam alvey,10,13,1,0
sam fulton,0,2,0,0
sam hoger,2,3,0,0
sam hughes,4,5,0,0
sam patterson,2,1,0,0
sam sicilia,5,7,0,0
sam stout,9,11,0,0
sammy morgan,0,2,0,0
samy schiavo,0,2,0,0
sanae kikuta,1,0,0,0
santiago ponzinibbio,11,7,0,0
saparbeg safarov,1,3,0,0
sara mcmann,7,6,0,0
sarah alpar,0,2,0,0
sarah frota,0,2,0,0
sarah kaufman,1,2,0,1
sarah moras,3,6,0,0
sasha palatnikov,1,2,0,0
satoshi honma,0,1,0,0
scott adams,1,0,0,0
scott askham,2,4,0,0
scott baker,0,1,0,0
scott bessac,1,1,0,0
scott ferrozzo,3,2,0,0
scott fiedler,0,1,0,0
scott holtzman,7,6,0,0
scott jorgensen,4,8,0,0
scott junk,0,1,0,0
scott morris,1,1,0,0
scott smith,1,3,0,0
sean alvarez,0,1,0,0
sean brady,7,1,0,0
sean daugherty,0,1,0,0
sean gannon,0,1,0,0
sean mccorkle,1,2,0,0
sean o'connell,2,5,0,0
sean o'malley,10,2,0,1
sean pierson,4,2,0,0
sean salmon,0,2,0,0
sean sharaf,0,1,0,0
sean sherk,8,4,0,0
sean soriano,0,5,0,0
sean spencer,3,5,0,0
sean strickland,16,6,0,0
sean woodson,7,1,1,0
sedriques dumas,2,2,0,0
semmy schilt,1,1,0,0
seo hee ham,1,3,0,0
sergei pavlovich,6,3,0,0
sergey khandozhko,2,1,0,0
sergey morozov,3,2,0,0
serghei spivac,8,4,0,0
sergio moraes,8,5,1,0
sergio pettis,9,5,0,0
serhiy sidey,1,1,0,0
seth baczynski,5,6,0,0
seth petruzelli,0,4,0,0
seungguk choi,0,1,0,0
seungwoo choi,3,6,0,0
shamar bailey,1,2,0,0
shamil abdurakhimov,5,6,0,0
shamil gamzatov,1,1,0,0
shamil gaziev,2,1,0,0
shana dobson,2,4,0,0
shane burgos,8,3,0,0
shane campbell,1,4,0,0
shane carwin,4,2,0,0
shane del rosario,0,2,0,0
shane howell,0,2,0,0
shane nelson,2,2,0,0
shane primm,0,1,0,0
shane roller,2,4,0,0
shane young,2,5,0,0
shanna young,1,3,0,0
shannon gugerty,2,3,0,0
shannon ross,0,3,0,0
shara magomedov,2,0,0,0
shauna bannon,1,1,0,0
shavkat rakhmonov,7,0,0,0
shawn jordan,6,4,0,0
shayilan nuerdanbieke,3,3,0,0
shayna baszler,0,2,0,0
sheila gaff,0,2,0,0
sheldon westcott,1,2,0,0
sherman pendergarst,0,1,0,0
sheymon moraes,2,3,0,0
shi ming,1,0,0,0
shinsho anzai,2,2,0,0
shonie carter,3,3,0,0
shunichi shimizu,0,1,0,0
sijara eubanks,5,5,0,0
silvana gomez juarez,1,3,0,0
simeon thoresen,1,2,0,0
sione latu,1,0,0,0
sirwan kakai,1,1,0,0
siyar bahadurzada,4,4,0,0
soa palelei,4,3,0,0
sodiq yusuff,6,3,0,0
solomon hutcherson,0,1,0,0
song kenan,5,5,0,0
song yadong,10,3,1,0
spencer fisher,9,8,0,0
spike carlyle,1,2,0,0
stanislav nedkov,1,2,0,1
stefan sekulic,0,2,0,0
stefan struve,13,11,0,0
stephan bonnar,8,7,0,0
stephanie egger,3,4,0,0
stephanie luciano,1,0,0,0
stephen bass,0,1,0,0
stephen thompson,12,8,1,0
steve berger,0,2,0,1
steve bosse,2,1,0,0
steve bruno,1,2,0,0
steve byrnes,0,1,0,0
steve cantwell,1,5,0,0
steve erceg,3,2,0,0
steve garcia,6,2,0,0
steve jennum,2,1,0,0
steve judson,0,2,0,0
steve kennedy,0,2,0,0
steve lopez,0,2,0,0
steve montgomery,0,2,0,0
steve nelmark,2,1,0,0
steve steinbeiss,0,2,0,0
steve vigneault,0,1,0,0
steven graham,1,1,0,0
steven koslow,0,1,0,0
steven nguyen,0,1,0,0
steven peterson,3,5,0,0
steven siler,5,4,0,0
stevie lynch,0,1,0,0
stevie ray,7,4,0,0
stewart nicoll,0,1,0,0
stipe miocic,14,5,0,0
sultan aliev,2,2,0,0
suman mokhtarian,0,2,0,0
sumudaerji,3,4,0,0
sung bin jo,0,1,0,0
suyoung you,1,0,0,0
syuri kondo,1,3,0,0
tabatha ricci,6,3,0,0
tae hyun bang,2,3,0,0
tafon nchukwi,2,4,0,0
tagir ulanbekov,4,1,0,0
tai bowden,1,1,0,0
tai tuivasa,8,8,0,0
taila santos,4,2,0,0
tainara lisboa,2,0,0,0
takanori gomi,4,9,0,0
takashi sato,2,5,0,0
takenori sato,0,2,0,0
takeya mizugaki,8,6,0,0
talita alencar,1,1,0,0
talita bernardo,1,3,0,0
tamdan mccrory,4,5,0,0
tamires vidal,1,3,0,0
tanner boser,5,5,0,0
tarec saffiedine,2,4,0,0
tateki matsuda,0,2,0,0
tatiana suarez,7,0,0,0
tatsuro taira,6,1,0,0
tatsuya kawajiri,3,3,0,0
taylor lapilus,6,2,0,0
te edwards,0,2,0,0
tecia pennington,1,1,0,0
tecia torres,9,6,0,0
tedd williams,1,1,0,0
teemu packalen,1,3,0,0
tereza bleda,1,1,0,0
terrance mckinney,5,4,0,0
terrence mitchell,0,2,0,0
terrion ware,0,4,0,0
terry etim,6,5,0,0
terry martin,2,4,0,0
teruto ishihara,3,5,1,0
thaddeus luster,0,1,0,0
thales leites,13,8,0,0
themba gorimbo,4,2,0,0
thiago alves,15,12,0,0
thiago moises,7,6,0,0
thiago perpetuo,1,2,0,0
thiago santos,14,10,0,0
thiago silva,7,3,0,2
thiago tavares,10,7,1,0
thibault gouti,1,5,0,0
thomas almeida,5,5,0,0
thomas gifford,0,2,0,0
thomas petersen,1,1,0,0
thomas ramirez,0,1,0,0
tiago dos santos e silva,2,2,0,0
tiki ghosn,0,4,0,0
tim boetsch,12,12,0,0
tim credeur,3,2,0,0
tim elliott,9,10,0,0
tim gorman,0,2,0,0
tim hague,1,4,0,0
tim kennedy,3,2,0,0
tim lajcik,0,2,1,0
tim mckenzie,0,1,0,0
tim means,15,14,0,1
tim sylvia,9,4,0,0
tim williams,0,2,0,0
timmy cuamba,0,2,0,0
timothy johnson,4,3,0,0
timur valiev,2,1,0,1
tina lahdemaki,0,1,0,0
tito ortiz,15,11,1,0
tj brown,3,5,0,0
tj dillashaw,13,5,0,0
tj grant,8,3,0,0
tj laramie,0,2,0,0
tj o'brien,0,2,0,0
tj waldburger,4,4,0,0
todd brown,0,2,0,0
todd butler,0,1,0,0
todd duffee,3,2,0,1
todd medina,1,1,0,0
tom aspinall,8,1,0,0
tom blackledge,0,1,0,0
tom breese,5,3,0,0
tom deblass,0,2,0,0
tom duquesnoy,2,1,0,0
tom egan,0,1,0,0
tom gallicchio,0,1,0,0
tom lawlor,6,5,0,0
tom murphy,1,0,0,0
tom niinimaki,1,3,0,0
tom nolan,2,1,0,0
tom watson,2,5,0,0
tomasz drwal,3,3,0,0
tommy hayden,0,2,0,0
tommy speer,0,2,0,0
tony desouza,3,3,0,0
tony ferguson,15,9,0,0
tony fryklund,2,2,0,0
tony gravely,4,4,0,0
tony halme,0,1,0,0
tony kelley,2,2,0,0
tony petarra,0,1,0,0
tony sims,1,2,0,0
tonya evinger,0,3,0,0
tor troeng,1,3,0,0
toshiomi kazama,1,1,0,0
townsend saunders,0,2,0,0
tra telligman,1,4,0,0
tracy cortez,5,1,0,0
travis browne,9,7,1,0
travis fulton,1,1,0,0
travis lutter,2,4,0,0
travis wiuff,0,2,0,0
trent jenkins,0,1,0,0
tresean gore,2,2,0,0
trevin giles,7,7,0,0
trevin jones,1,4,0,1
trevor peek,1,3,0,0
trevor prangley,2,2,0,0
trevor smith,5,7,0,0
trey ogden,3,2,0,1
trey waters,2,0,0,0
tristan connelly,1,2,0,0
troy mandaloniz,1,1,0,0
tsuyoshi kohsaka,3,3,0,0
tucker lutz,1,3,0,0
tuco tokkos,0,2,0,0
tulio palhares,1,0,0,0
tyler diamond,0,1,0,0
tyler toner,0,1,0,0
tyron woodley,9,6,1,0
tyrone roberts,1,0,0,0
tyson griffin,8,6,0,0
tyson nam,3,5,0,0
tyson pedro,6,5,0,0
ulysses gomez,0,2,0,0
umar nurmagomedov,6,0,0,0
uriah hall,10,9,0,0
urijah faber,11,7,0,0
uros medic,4,2,0,0
vagner rocha,1,3,0,0
val woodburn,0,2,0,0
valentina shevchenko,13,3,1,0
valeri ignatov,0,2,0,0
valerie letourneau,3,3,0,0
valmir lazaro,1,2,0,0
valter walker,1,1,0,0
vanessa demopoulos,5,3,0,0
vanessa melo,1,3,0,0
vaughan lee,3,5,0,0
vernon ramos ho,0,1,0,0
vernon white,0,1,1,0
veronica hardy,3,1,0,0
veronica macedo,1,4,0,0
viacheslav borshchev,3,3,1,0
vicente luque,16,6,0,0
victor altamirano,2,4,0,0
victor henry,3,2,0,0
victor hugo,1,0,0,0
victor martinez,0,2,0,0
victor rodriguez,0,2,0,0
victor valimaki,0,2,0,0
victoria leonardo,1,4,0,0
vik grujic,1,3,0,0
viktor pesta,1,4,0,0
viktoriia dudakova,1,1,0,0
vinc pichel,7,4,0,0
vince cachero,0,2,0,0
vince morales,3,6,0,0
vinicius moreira,0,4,0,0
vinicius oliveira,2,0,0,0
vinicius queiroz,0,1,0,0
vinicius salvador,0,3,0,0
vinny magalhaes,1,4,0,0
virna jandiroba,7,3,0,0
viscardi andrade,3,1,0,0
vitor belfort,15,10,0,1
vitor miranda,3,4,0,0
vitor petrino,4,2,0,0
viviane araujo,7,5,0,0
viviane pereira,2,2,0,0
vladimir matyushenko,7,5,0,0
volkan oezdemir,8,7,0,0
wade shipp,0,1,0,0
wagner campos,0,1,0,0
wagner prado,0,2,0,1
wagner silva,0,2,0,0
waldo cortes-acosta,4,1,0,0
walel watson,1,3,0,0
wallid ismail,0,1,0,0
walt harris,6,9,0,1
wanderlei silva,5,7,0,0
wang cong,1,1,0,0
wang guan,1,0,0,0
war machine,1,1,0,0
warlley alves,8,7,0,0
waylon lowe,2,2,0,0
wellington turman,3,6,0,0
wendell oliveira marques,0,2,0,0
wes albritton,0,1,0,0
wes combs,0,2,0,0
wes sims,0,3,0,0
wesley correira,2,2,0,0
westin wilson,1,2,0,0
will brooks,1,3,0,0
will campuzano,0,4,0,0
will chope,0,1,0,0
willamy freire,0,1,0,0
william gomis,4,0,0,0
william knight,3,4,0,0
william macario,1,3,0,0
willie gates,1,3,0,0
wilson gouveia,6,4,0,0
wilson reis,7,6,0,0
wu yanan,1,5,0,0
wuliji buren,0,3,0,0
xavier foupa-pokam,0,2,0,0
xiao long,1,1,0,0
yair rodriguez,10,4,0,1
yan cabral,2,3,0,0
yan xiaonan,9,3,0,0
yana kunitskaya,4,3,0,0
yana santos,1,2,0,0
yanal ashmouz,2,1,0,0
yancy medeiros,6,8,0,1
yanis ghemmouri,0,2,0,0
yao zhikui,1,3,0,0
yaotzin meza,2,4,0,1
yasuhiro urushitani,0,2,0,0
yazmin jauregui,3,2,0,0
yi zha,0,1,0,0
yizha,0,1,0,0
yoel romero,9,4,0,0
yohan lainesse,1,3,0,0
yoislandy izquierdo,0,2,0,0
yoji anjo,0,3,0,0
yorgan de castro,1,3,0,0
yosdenis cedeno,1,3,0,0
yoshihiro akiyama,2,5,0,0
yoshiki takahashi,1,0,0,0
yoshinori horie,0,1,0,0
yoshiyuki yoshida,2,3,0,0
youssef zalal,6,3,1,0
yui chul nam,1,2,0,0
yuki kondo,1,2,0,0
yuki sasaki,0,1,0,0
yuri vaulin,0,1,0,0
yuri villefort,0,2,0,0
yusaku kinoshita,0,1,0,0
yushin okami,14,7,0,0
yusuke kasuya,0,2,0,0
yuta sasaki,4,5,0,0
yves edwards,10,10,0,1
yves jabouin,5,5,0,0
zabit magomedsharipov,6,0,0,0
zac pauga,1,3,0,0
zach light,0,1,0,0
zach makovsky,3,4,0,0
zach reese,1,1,0,0
zachary reese,1,0,0,0
zachary scroggin,0,1,0,0
zak cummings,10,4,0,0
zak ottow,4,4,0,0
zane frazier,0,1,0,0
zarah fairn,0,4,0,0
zarrukh adashev,1,3,0,0
zelim imadaev,0,3,0,0
zhalgas zhumagulov,1,6,0,0
zhang lipeng,2,2,0,0
zhang mingyang,2,0,0,0
zhang tiequan,1,3,0,0
zhang weili,9,2,0,0
zubaira tukhugov,5,3,1,0
zviad lazishvili,0,1,0,0
zygimantas ramaska,0,1,0,0
