Fighter,wins,losses,draws,nc,total_matches
paulo santos,0,1,0,0,1
paulo thiago,5,8,0,0,13
pawel pawlak,1,2,0,0,3
payton talbott,3,0,0,0,3
pearl gonzalez,0,2,0,0,2
pedro falcao,0,1,0,0,1
pedro munhoz,10,10,0,2,22
pedro nobre,0,0,0,1,1
pedro rizzo,9,5,0,0,14
peggy morgan,0,1,0,0,1
per eklund,1,2,0,0,3
pete rodriguez,1,2,0,0,3
pete sell,2,5,0,0,7
pete spratt,3,4,0,0,7
pete williams,3,5,0,0,8
peter barrett,0,2,0,0,2
peter sobotta,4,6,0,0,10
petr yan,10,4,0,0,14
phil baroni,3,7,0,0,10
phil davis,9,3,0,1,13
phil harris,1,3,0,1,5
phil hawes,4,4,0,0,8
phil johns,0,1,0,0,1
phil rowe,3,3,0,0,6
philip de fries,2,3,0,0,5
philipe lins,4,2,0,0,6
phillip miller,2,0,0,0,2
phillipe nover,1,6,0,0,7
piera rodriguez,3,2,0,0,5
pingyuan liu,2,2,0,0,4
piotr hallmann,2,4,0,0,6
poliana botelho,3,4,0,0,7
polyana viana,4,6,0,0,10
preston parsons,2,3,0,0,5
priscila cachoeira,4,6,0,0,10
puja tomar,1,0,0,0,1
punahele soriano,4,4,0,0,8
quang le,0,2,0,0,2
quinn mulhern,0,2,0,0,2
quinton jackson,8,5,0,0,13
rachael ostovich,1,3,0,0,4
rafa garcia,4,4,0,0,8
rafael alves,1,3,0,0,4
rafael carino,1,0,0,0,1
rafael cavalcante,1,4,0,0,5
rafael dos anjos,21,14,0,0,35
rafael estevam,1,0,0,0,1
rafael fiziev,6,3,0,0,9
rafael natal,9,7,1,0,17
rafaello oliveira,2,6,0,0,8
rainy martinez,0,1,0,0,1
ramazan emeev,5,3,0,0,8
ramazan temirov,1,0,0,0,1
rameau thierry sokoudjou,1,2,0,0,3
ramiro hernandez,0,2,0,0,2
ramiz brahimaj,3,3,0,0,6
ramon taveras,1,1,0,0,2
ramona pascual,0,3,0,0,3
ramsey nijem,5,5,0,0,10
randa markos,7,10,1,0,18
randy brown,13,6,0,0,19
randy costa,2,4,0,0,6
randy couture,16,8,0,0,24
rani yahya,13,6,1,1,21
raoni barcelos,7,4,0,0,11
raphael assuncao,12,7,0,0,19
raphael pessoa,1,2,0,0,3
raquel pennington,13,6,0,0,19
rashad coulter,1,3,0,0,4
rashad evans,14,8,1,0,23
rashid magomedov,5,1,0,0,6
raul rosas jr.,4,1,0,0,5
raulian paiva,3,4,0,0,7
ravena oliveira,0,1,0,0,1
ray borg,7,5,0,0,12
ray rodriguez,0,2,0,0,2
ray wizard,0,1,0,0,1
rayanne amanda,0,1,0,0,1
rayanne dos santos,0,1,0,0,1
razak al-hassan,0,2,0,0,2
reese andy,0,2,0,0,2
reginaldo vieira,1,2,0,0,3
rei tsuruya,1,0,0,0,1
reinier de ridder,1,0,0,0,1
remco pardoel,3,2,0,0,5
renan barao,9,8,0,0,17
renato moicano,12,5,0,0,17
renato sobral,6,4,0,0,10
renato verissimo,1,2,0,0,3
renee forte,1,3,0,0,4
renzo gracie,0,1,0,0,1
reuben duran,1,3,0,0,4
rex holman,0,1,0,0,1
reza madadi,3,4,0,0,7
reza nasri,0,1,0,0,1
rhys mckee,0,4,0,0,4
ricardo abreu,1,1,0,0,2
ricardo almeida,6,5,0,0,11
ricardo funch,0,4,0,0,4
ricardo lamas,11,6,0,0,17
ricardo ramos,8,5,0,0,13
ricardo romero,1,2,0,0,3
ricco rodriguez,5,2,0,0,7
rich attonito,3,2,0,0,5
rich clementi,5,5,0,0,10
rich franklin,14,6,0,0,20
richard crunkilton,0,1,0,0,1
richard walsh,2,4,0,0,6
richardson moreira,0,2,0,0,2
richie hightower,0,1,0,0,1
richie smullen,0,1,0,0,1
richie vaculik,1,3,0,0,4
rick davis,0,1,0,0,1
rick story,12,7,0,0,19
ricky glenn,4,6,1,0,11
ricky rainey,0,2,0,0,2
ricky simon,8,5,0,0,13
ricky turcios,2,2,0,0,4
riki fukuda,2,3,0,0,5
rin nakai,0,2,0,0,2
rinat fakhretdinov,4,0,1,0,5
rinya nakamura,2,0,0,0,2
roan carneiro,4,5,0,0,9
rob broughton,1,2,0,0,3
rob emerson,3,3,0,1,7
rob font,11,7,0,0,18
rob kimmons,3,4,0,0,7
rob macdonald,1,2,0,0,3
rob wilkinson,0,2,0,0,2
rob yundt,0,2,0,0,2
robbie lawler,15,10,0,0,25
robelis despaigne,1,2,0,0,3
robert bryczek,0,1,0,0,1
robert drysdale,0,0,0,1,1
robert lucarelli,0,1,0,0,1
robert mcdaniel,1,2,0,0,3
robert peralta,4,3,0,1,8
robert sanchez,1,2,0,0,3
robert valentin,0,1,0,0,1
robert whiteford,2,3,0,0,5
robert whittaker,17,5,0,0,22
roberto romero,0,1,0,0,1
roberto traven,1,1,0,0,2
rocky lee,0,1,0,0,1
rodney wallace,0,3,0,0,3
rodolfo bellato,1,0,0,0,1
rodolfo rubio perez,0,1,0,0,1
rodolfo vieira,5,2,0,0,7
rodrigo damm,3,4,0,0,7
rodrigo de lima,0,2,0,0,2
rodrigo nascimento,5,3,0,0,8
rodrigo ruas,0,1,0,0,1
roger bowling,0,2,0,1,3
roger gracie,0,1,0,0,1
roger hollett,0,2,0,0,2
roger huerta,6,2,0,0,8
roger narvaez,1,2,0,0,3
roger zapata,0,1,0,0,1
rogerio bontorin,2,3,0,1,6
rogerio nogueira,6,7,0,0,13
roland delorme,3,3,0,1,7
roland payne,0,1,0,0,1
rolando bedoya,0,2,0,0,2
rolando delgado,1,2,0,0,3
rolando dy,1,3,0,0,4
roldan sangcha'an,0,2,0,0,2
rolles gracie,0,1,0,0,1
roman bogatov,0,1,0,0,1
roman dolidze,8,3,0,0,11
roman kopylov,5,3,0,0,8
roman mitichyan,1,1,0,0,2
roman salazar,0,2,0,1,3
romie aram,0,1,0,0,1
ron faircloth,0,0,0,1,1
ron stallings,1,2,0,0,3
ron van clief,0,1,0,0,1
ron waterman,2,1,1,0,4
ronald jhun,0,1,0,0,1
ronaldo rodriguez,2,0,0,0,2
ronda rousey,6,2,0,0,8
rong zhu,1,2,0,0,3
rongzhu,0,1,0,0,1
ronnie lawrence,2,1,0,1,4
ronny markes,3,2,0,0,5
rony jason,4,4,0,1,9
ronys torres,0,2,0,0,2
roosevelt roberts,4,5,0,1,10
roque martinez,0,3,0,0,3
rory macdonald,9,4,0,0,13
rory markham,1,2,0,0,3
rory singer,2,2,0,0,4
rose namajunas,11,6,0,0,17
rosi sexton,0,2,0,0,2
ross pearson,12,13,0,1,26
ross pointon,0,2,0,0,2
rostem akman,0,2,0,0,2
rousimar palhares,8,4,0,0,12
roxanne modafferi,4,8,0,0,12
roy nelson,9,10,0,0,19
royce alger,0,2,0,0,2
royce gracie,8,1,0,0,9
royston wee,2,1,0,0,3
ruan potts,0,3,0,0,3
rudyard moncayo,0,1,0,0,1
ruslan magomedov,3,0,0,0,3
russell doane,3,5,0,0,8
rustam khabilov,10,3,0,0,13
ryan bader,15,5,0,0,20
ryan benoit,3,6,0,0,9
ryan couture,0,2,0,0,2
ryan hall,5,1,0,0,6
ryan janes,2,2,0,0,4
ryan jensen,2,6,0,0,8
ryan jimmo,3,4,0,0,7
ryan laflare,7,3,0,0,10
ryan loder,1,0,0,0,1
ryan macdonald,0,2,0,0,2
ryan madigan,0,1,0,0,1
ryan mcgillivray,0,1,0,0,1
ryan parker,0,1,0,0,1
ryan roberts,0,1,0,0,1
ryan spann,8,4,0,0,12
ryan thomas,0,2,0,0,2
ryo chonan,1,3,0,0,4
sabah homasi,0,3,0,0,3
sabina mazo,3,4,0,0,7
saeed hosseini,0,1,0,0,1
sage northcutt,6,2,0,0,8
sai wang,1,1,0,0,2
said nurmagomedov,6,2,0,0,8
saidyokub kakhramonov,2,1,0,0,3
saimon oliveira,0,2,0,0,2
sako chivitchian,0,1,0,0,1
salim touahri,0,3,0,0,3
sam adkins,2,2,0,0,4
sam alvey,10,13,1,0,24
sam fulton,0,2,0,0,2
sam hoger,2,3,0,0,5
sam hughes,4,5,0,0,9
sam patterson,2,1,0,0,3
sam sicilia,5,7,0,0,12
sam stout,9,11,0,0,20
sammy morgan,0,2,0,0,2
samy schiavo,0,2,0,0,2
sanae kikuta,1,0,0,0,1
santiago ponzinibbio,11,7,0,0,18
saparbeg safarov,1,3,0,0,4
sara mcmann,7,6,0,0,13
sarah alpar,0,2,0,0,2
sarah frota,0,2,0,0,2
sarah kaufman,1,2,0,1,4
sarah moras,3,6,0,0,9
sasha palatnikov,1,2,0,0,3
satoshi honma,0,1,0,0,1
scott adams,1,0,0,0,1
scott askham,2,4,0,0,6
scott baker,0,1,0,0,1
scott bessac,1,1,0,0,2
scott ferrozzo,3,2,0,0,5
scott fiedler,0,1,0,0,1
scott holtzman,7,6,0,0,13
scott jorgensen,4,8,0,0,12
scott junk,0,1,0,0,1
scott morris,1,1,0,0,2
scott smith,1,3,0,0,4
sean alvarez,0,1,0,0,1
sean brady,7,1,0,0,8
sean daugherty,0,1,0,0,1
sean gannon,0,1,0,0,1
sean mccorkle,1,2,0,0,3
sean o'connell,2,5,0,0,7
sean o'malley,10,2,0,1,13
sean pierson,4,2,0,0,6
sean salmon,0,2,0,0,2
sean sharaf,0,1,0,0,1
sean sherk,8,4,0,0,12
sean soriano,0,5,0,0,5
sean spencer,3,5,0,0,8
sean strickland,16,6,0,0,22
sean woodson,7,1,1,0,9
sedriques dumas,2,2,0,0,4
semmy schilt,1,1,0,0,2
seo hee ham,1,3,0,0,4
sergei pavlovich,6,3,0,0,9
sergey khandozhko,2,1,0,0,3
sergey morozov,3,2,0,0,5
serghei spivac,8,4,0,0,12
sergio moraes,8,5,1,0,14
sergio pettis,9,5,0,0,14
serhiy sidey,1,1,0,0,2
seth baczynski,5,6,0,0,11
seth petruzelli,0,4,0,0,4
seungguk choi,0,1,0,0,1
seungwoo choi,3,6,0,0,9
shamar bailey,1,2,0,0,3
shamil abdurakhimov,5,6,0,0,11
shamil gamzatov,1,1,0,0,2
shamil gaziev,2,1,0,0,3
shana dobson,2,4,0,0,6
shane burgos,8,3,0,0,11
shane campbell,1,4,0,0,5
shane carwin,4,2,0,0,6
shane del rosario,0,2,0,0,2
shane howell,0,2,0,0,2
shane nelson,2,2,0,0,4
shane primm,0,1,0,0,1
shane roller,2,4,0,0,6
shane young,2,5,0,0,7
shanna young,1,3,0,0,4
shannon gugerty,2,3,0,0,5
shannon ross,0,3,0,0,3
shara magomedov,2,0,0,0,2
shauna bannon,1,1,0,0,2
shavkat rakhmonov,7,0,0,0,7
shawn jordan,6,4,0,0,10
shayilan nuerdanbieke,3,3,0,0,6
shayna baszler,0,2,0,0,2
sheila gaff,0,2,0,0,2
sheldon westcott,1,2,0,0,3
sherman pendergarst,0,1,0,0,1
sheymon moraes,2,3,0,0,5
shi ming,1,0,0,0,1
shinsho anzai,2,2,0,0,4
shonie carter,3,3,0,0,6
shunichi shimizu,0,1,0,0,1
sijara eubanks,5,5,0,0,10
silvana gomez juarez,1,3,0,0,4
simeon thoresen,1,2,0,0,3
sione latu,1,0,0,0,1
sirwan kakai,1,1,0,0,2
siyar bahadurzada,4,4,0,0,8
soa palelei,4,3,0,0,7
sodiq yusuff,6,3,0,0,9
solomon hutcherson,0,1,0,0,1
song kenan,5,5,0,0,10
song yadong,10,3,1,0,14
spencer fisher,9,8,0,0,17
spike carlyle,1,2,0,0,3
stanislav nedkov,1,2,0,1,4
stefan sekulic,0,2,0,0,2
stefan struve,13,11,0,0,24
stephan bonnar,8,7,0,0,15
stephanie egger,3,4,0,0,7
stephanie luciano,1,0,0,0,1
stephen bass,0,1,0,0,1
stephen thompson,12,8,1,0,21
steve berger,0,2,0,1,3
steve bosse,2,1,0,0,3
steve bruno,1,2,0,0,3
steve byrnes,0,1,0,0,1
steve cantwell,1,5,0,0,6
steve erceg,3,2,0,0,5
steve garcia,6,2,0,0,8
steve jennum,2,1,0,0,3
steve judson,0,2,0,0,2
steve kennedy,0,2,0,0,2
steve lopez,0,2,0,0,2
steve montgomery,0,2,0,0,2
steve nelmark,2,1,0,0,3
steve steinbeiss,0,2,0,0,2
steve vigneault,0,1,0,0,1
steven graham,1,1,0,0,2
steven koslow,0,1,0,0,1
steven nguyen,0,1,0,0,1
steven peterson,3,5,0,0,8
steven siler,5,4,0,0,9
stevie lynch,0,1,0,0,1
stevie ray,7,4,0,0,11
stewart nicoll,0,1,0,0,1
stipe miocic,14,5,0,0,19
sultan aliev,2,2,0,0,4
suman mokhtarian,0,2,0,0,2
sumudaerji,3,4,0,0,7
sung bin jo,0,1,0,0,1
suyoung you,1,0,0,0,1
syuri kondo,1,3,0,0,4
tabatha ricci,6,3,0,0,9
tae hyun bang,2,3,0,0,5
tafon nchukwi,2,4,0,0,6
tagir ulanbekov,4,1,0,0,5
tai bowden,1,1,0,0,2
tai tuivasa,8,8,0,0,16
taila santos,4,2,0,0,6
tainara lisboa,2,0,0,0,2
takanori gomi,4,9,0,0,13
takashi sato,2,5,0,0,7
takenori sato,0,2,0,0,2
takeya mizugaki,8,6,0,0,14
talita alencar,1,1,0,0,2
talita bernardo,1,3,0,0,4
tamdan mccrory,4,5,0,0,9
tamires vidal,1,3,0,0,4
tanner boser,5,5,0,0,10
tarec saffiedine,2,4,0,0,6
tateki matsuda,0,2,0,0,2
tatiana suarez,7,0,0,0,7
tatsuro taira,6,1,0,0,7
tatsuya kawajiri,3,3,0,0,6
taylor lapilus,6,2,0,0,8
te edwards,0,2,0,0,2
tecia pennington,1,1,0,0,2
tecia torres,9,6,0,0,15
tedd williams,1,1,0,0,2
teemu packalen,1,3,0,0,4
tereza bleda,1,1,0,0,2
terrance mckinney,5,4,0,0,9
terrence mitchell,0,2,0,0,2
terrion ware,0,4,0,0,4
terry etim,6,5,0,0,11
terry martin,2,4,0,0,6
teruto ishihara,3,5,1,0,9
thaddeus luster,0,1,0,0,1
thales leites,13,8,0,0,21
themba gorimbo,4,2,0,0,6
thiago alves,15,12,0,0,27
thiago moises,7,6,0,0,13
thiago perpetuo,1,2,0,0,3
thiago santos,14,10,0,0,24
thiago silva,7,3,0,2,12
thiago tavares,10,7,1,0,18
thibault gouti,1,5,0,0,6
thomas almeida,5,5,0,0,10
thomas gifford,0,2,0,0,2
thomas petersen,1,1,0,0,2
thomas ramirez,0,1,0,0,1
tiago dos santos e silva,2,2,0,0,4
tiki ghosn,0,4,0,0,4
tim boetsch,12,12,0,0,24
tim credeur,3,2,0,0,5
tim elliott,9,10,0,0,19
tim gorman,0,2,0,0,2
tim hague,1,4,0,0,5
tim kennedy,3,2,0,0,5
tim lajcik,0,2,1,0,3
tim mckenzie,0,1,0,0,1
tim means,15,14,0,1,30
tim sylvia,9,4,0,0,13
tim williams,0,2,0,0,2
timmy cuamba,0,2,0,0,2
timothy johnson,4,3,0,0,7
timur valiev,2,1,0,1,4
tina lahdemaki,0,1,0,0,1
tito ortiz,15,11,1,0,27
tj brown,3,5,0,0,8
tj dillashaw,13,5,0,0,18
tj grant,8,3,0,0,11
tj laramie,0,2,0,0,2
tj o'brien,0,2,0,0,2
tj waldburger,4,4,0,0,8
todd brown,0,2,0,0,2
todd butler,0,1,0,0,1
todd duffee,3,2,0,1,6
todd medina,1,1,0,0,2
tom aspinall,8,1,0,0,9
tom blackledge,0,1,0,0,1
tom breese,5,3,0,0,8
tom deblass,0,2,0,0,2
tom duquesnoy,2,1,0,0,3
tom egan,0,1,0,0,1
tom gallicchio,0,1,0,0,1
tom lawlor,6,5,0,0,11
tom murphy,1,0,0,0,1
tom niinimaki,1,3,0,0,4
tom nolan,2,1,0,0,3
tom watson,2,5,0,0,7
tomasz drwal,3,3,0,0,6
tommy hayden,0,2,0,0,2
tommy speer,0,2,0,0,2
tony desouza,3,3,0,0,6
tony ferguson,15,9,0,0,24
tony fryklund,2,2,0,0,4
tony gravely,4,4,0,0,8
tony halme,0,1,0,0,1
tony kelley,2,2,0,0,4
tony petarra,0,1,0,0,1
tony sims,1,2,0,0,3
tonya evinger,0,3,0,0,3
tor troeng,1,3,0,0,4
toshiomi kazama,1,1,0,0,2
townsend saunders,0,2,0,0,2
tra telligman,1,4,0,0,5
tracy cortez,5,1,0,0,6
travis browne,9,7,1,0,17
travis fulton,1,1,0,0,2
travis lutter,2,4,0,0,6
travis wiuff,0,2,0,0,2
trent jenkins,0,1,0,0,1
tresean gore,2,2,0,0,4
trevin giles,7,7,0,0,14
trevin jones,1,4,0,1,6
trevor peek,1,3,0,0,4
trevor prangley,2,2,0,0,4
trevor smith,5,7,0,0,12
trey ogden,3,2,0,1,6
trey waters,2,0,0,0,2
tristan connelly,1,2,0,0,3
troy mandaloniz,1,1,0,0,2
tsuyoshi kohsaka,3,3,0,0,6
tucker lutz,1,3,0,0,4
tuco tokkos,0,2,0,0,2
tulio palhares,1,0,0,0,1
tyler diamond,0,1,0,0,1
tyler toner,0,1,0,0,1
tyron woodley,9,6,1,0,16
tyrone roberts,1,0,0,0,1
tyson griffin,8,6,0,0,14
tyson nam,3,5,0,0,8
tyson pedro,6,5,0,0,11
ulysses gomez,0,2,0,0,2
umar nurmagomedov,6,0,0,0,6
uriah hall,10,9,0,0,19
urijah faber,11,7,0,0,18
uros medic,4,2,0,0,6
vagner rocha,1,3,0,0,4
val woodburn,0,2,0,0,2
valentina shevchenko,13,3,1,0,17
valeri ignatov,0,2,0,0,2
valerie letourneau,3,3,0,0,6
valmir lazaro,1,2,0,0,3
valter walker,1,1,0,0,2
vanessa demopoulos,5,3,0,0,8
vanessa melo,1,3,0,0,4
vaughan lee,3,5,0,0,8
vernon ramos ho,0,1,0,0,1
vernon white,0,1,1,0,2
veronica hardy,3,1,0,0,4
veronica macedo,1,4,0,0,5
viacheslav borshchev,3,3,1,0,7
vicente luque,16,6,0,0,22
victor altamirano,2,4,0,0,6
victor henry,3,2,0,0,5
victor hugo,1,0,0,0,1
victor martinez,0,2,0,0,2
victor rodriguez,0,2,0,0,2
victor valimaki,0,2,0,0,2
victoria leonardo,1,4,0,0,5
vik grujic,1,3,0,0,4
viktor pesta,1,4,0,0,5
viktoriia dudakova,1,1,0,0,2
vinc pichel,7,4,0,0,11
vince cachero,0,2,0,0,2
vince morales,3,6,0,0,9
vinicius moreira,0,4,0,0,4
vinicius oliveira,2,0,0,0,2
vinicius queiroz,0,1,0,0,1
vinicius salvador,0,3,0,0,3
vinny magalhaes,1,4,0,0,5
virna jandiroba,7,3,0,0,10
viscardi andrade,3,1,0,0,4
vitor belfort,15,10,0,1,26
vitor miranda,3,4,0,0,7
vitor petrino,4,2,0,0,6
viviane araujo,7,5,0,0,12
viviane pereira,2,2,0,0,4
vladimir matyushenko,7,5,0,0,12
volkan oezdemir,8,7,0,0,15
wade shipp,0,1,0,0,1
wagner campos,0,1,0,0,1
wagner prado,0,2,0,1,3
wagner silva,0,2,0,0,2
waldo cortes-acosta,4,1,0,0,5
walel watson,1,3,0,0,4
wallid ismail,0,1,0,0,1
walt harris,6,9,0,1,16
wanderlei silva,5,7,0,0,12
wang cong,1,1,0,0,2
wang guan,1,0,0,0,1
war machine,1,1,0,0,2
warlley alves,8,7,0,0,15
waylon lowe,2,2,0,0,4
wellington turman,3,6,0,0,9
wendell oliveira marques,0,2,0,0,2
wes albritton,0,1,0,0,1
wes combs,0,2,0,0,2
wes sims,0,3,0,0,3
wesley correira,2,2,0,0,4
westin wilson,1,2,0,0,3
will brooks,1,3,0,0,4
will campuzano,0,4,0,0,4
will chope,0,1,0,0,1
willamy freire,0,1,0,0,1
william gomis,4,0,0,0,4
william knight,3,4,0,0,7
william macario,1,3,0,0,4
willie gates,1,3,0,0,4
wilson gouveia,6,4,0,0,10
wilson reis,7,6,0,0,13
wu yanan,1,5,0,0,6
wuliji buren,0,3,0,0,3
xavier foupa-pokam,0,2,0,0,2
xiao long,1,1,0,0,2
yair rodriguez,10,4,0,1,15
yan cabral,2,3,0,0,5
yan xiaonan,9,3,0,0,12
yana kunitskaya,4,3,0,0,7
yana santos,1,2,0,0,3
yanal ashmouz,2,1,0,0,3
yancy medeiros,6,8,0,1,15
yanis ghemmouri,0,2,0,0,2
yao zhikui,1,3,0,0,4
yaotzin meza,2,4,0,1,7
yasuhiro urushitani,0,2,0,0,2
yazmin jauregui,3,2,0,0,5
yi zha,0,1,0,0,1
yizha,0,1,0,0,1
yoel romero,9,4,0,0,13
yohan lainesse,1,3,0,0,4
yoislandy izquierdo,0,2,0,0,2
yoji anjo,0,3,0,0,3
yorgan de castro,1,3,0,0,4
yosdenis cedeno,1,3,0,0,4
yoshihiro akiyama,2,5,0,0,7
yoshiki takahashi,1,0,0,0,1
yoshinori horie,0,1,0,0,1
yoshiyuki yoshida,2,3,0,0,5
youssef zalal,6,3,1,0,10
yui chul nam,1,2,0,0,3
yuki kondo,1,2,0,0,3
yuki sasaki,0,1,0,0,1
yuri vaulin,0,1,0,0,1
yuri villefort,0,2,0,0,2
yusaku kinoshita,0,1,0,0,1
yushin okami,14,7,0,0,21
yusuke kasuya,0,2,0,0,2
yuta sasaki,4,5,0,0,9
yves edwards,10,10,0,1,21
yves jabouin,5,5,0,0,10
zabit magomedsharipov,6,0,0,0,6
zac pauga,1,3,0,0,4
zach light,0,1,0,0,1
zach makovsky,3,4,0,0,7
zach reese,1,1,0,0,2
zachary reese,1,0,0,0,1
zachary scroggin,0,1,0,0,1
zak cummings,10,4,0,0,14
zak ottow,4,4,0,0,8
zane frazier,0,1,0,0,1
zarah fairn,0,4,0,0,4
zarrukh adashev,1,3,0,0,4
zelim imadaev,0,3,0,0,3
zhalgas zhumagulov,1,6,0,0,7
zhang lipeng,2,2,0,0,4
zhang mingyang,2,0,0,0,2
zhang tiequan,1,3,0,0,4
zhang weili,9,2,0,0,11
zubaira tukhugov,5,3,1,0,9
zviad lazishvili,0,1,0,0,1
zygimantas ramaska,0,1,0,0,1
